Gene stable ID	Gene name
AGAP028709	
AGAP006068	
AGAP006069	
AGAP006070	
AGAP006071	
AGAP006072	
AGAP006073	
AGAP006074	
AGAP006076	OBP50
AGAP006075	OBP49
AGAP006079	OBP53
AGAP006080	OBP54
AGAP006081	OBP55
AGAP006082	CYP301A1
AGAP006083	fra
AGAP006084	
AGAP006085	
AGAP006086	
AGAP006087	
AGAP006088	
AGAP006089	
AGAP006090	
AGAP006091	
AGAP006092	
AGAP006093	
AGAP006094	
AGAP006095	CPR106
AGAP006096	SCOT
AGAP006097	
AGAP006098	NOS
AGAP006099	
AGAP006100	
AGAP006101	
AGAP006102	
AGAP006103	
AGAP006104	
AGAP006105	
AGAP006106	
AGAP006107	
AGAP006108	
AGAP006109	
AGAP006111	
AGAP006112	
AGAP006113	
AGAP006115	
AGAP006116	
AGAP006117	
AGAP006118	
AGAP006119	
AGAP006120	
AGAP006121	
AGAP006122	
AGAP006123	
AGAP006124	
AGAP028005	
AGAP006125	
AGAP006126	GPROP8
AGAP028122	
AGAP006127	
AGAP006128	
AGAP006129	
AGAP006130	eIF3l
AGAP028012	
AGAP006131	
AGAP006132	
AGAP006133	
AGAP006134	
AGAP006135	
AGAP006136	
AGAP006137	
AGAP006138	
AGAP006139	
AGAP006140	
AGAP006141	
AGAP006142	
AGAP006143	Gr56
AGAP028028	LRIM16A
AGAP006144	
AGAP006145	CPLCA1
AGAP027982	
AGAP006146	CPLCA2
AGAP006147	
AGAP006148	CPLCA3
AGAP028185	
AGAP006149	CPLCX3
AGAP006150	
AGAP006151	
AGAP006152	
AGAP006153	
AGAP006154	
AGAP006155	
AGAP006156	GPRMGL1
AGAP006157	
AGAP006158	
AGAP006159	
AGAP006160	
AGAP006161	
AGAP006162	
AGAP006163	
AGAP006164	
AGAP006165	
AGAP006166	
AGAP006167	Or6
AGAP028409	
AGAP006168	
AGAP006169	
AGAP006170	
AGAP006171	
AGAP006172	
AGAP006173	
AGAP006174	
AGAP006175	
AGAP006176	
AGAP006177	
AGAP006178	
AGAP006179	
AGAP006180	
AGAP006181	
AGAP006182	
AGAP006183	
AGAP006184	
AGAP006185	
AGAP006186	
AGAP006187	
AGAP006188	
AGAP006190	
AGAP006191	
AGAP006192	
AGAP006193	
AGAP006194	
AGAP006195	
AGAP006196	
AGAP006197	
AGAP006198	
AGAP006199	
AGAP006200	
AGAP006201	
AGAP006202	
AGAP006203	
AGAP006204	
AGAP006205	
AGAP006206	
AGAP006207	
AGAP006208	
AGAP006209	
AGAP006210	
AGAP006211	
AGAP006212	
AGAP006213	
AGAP006214	
AGAP006215	GPRMTH1
AGAP006216	GPRMTH2
AGAP006217	
AGAP006218	GPRMTH4
AGAP006219	
AGAP006220	
AGAP006221	
AGAP006222	
AGAP006223	
AGAP006224	
AGAP006225	
AGAP006226	Aldehyde_oxidase
AGAP006227	
AGAP006228	COEAE2F
AGAP006229	
AGAP006231	
AGAP006232	
AGAP006233	
AGAP006234	
AGAP006235	
AGAP006236	
AGAP006237	
AGAP006238	
AGAP006239	
AGAP006240	
AGAP006241	
AGAP006242	
AGAP006243	
AGAP006244	
AGAP006245	
AGAP006246	
AGAP006247	
AGAP006248	Med10
AGAP006249	
AGAP006250	
AGAP006251	
AGAP006252	
AGAP006253	
AGAP006254	
AGAP006255	
AGAP006256	
AGAP006257	
AGAP006258	PPO2
AGAP006259	
AGAP006260	
AGAP006261	CPR135
AGAP006262	
AGAP006263	ARR2
AGAP006264	
AGAP006265	
AGAP006266	
AGAP006267	CTL6
AGAP006268	
AGAP006269	
AGAP006270	
AGAP006271	
AGAP006272	
AGAP006273	ABCB3
AGAP006274	
AGAP006275	
AGAP006276	
AGAP006277	
AGAP006278	
AGAP006279	
AGAP006280	
AGAP006281	
AGAP006282	
AGAP006283	CPR70
AGAP006321	CPR71
AGAP006323	
AGAP006324	
AGAP006325	
AGAP006327	LRIM6
AGAP006328	
AGAP006330	
AGAP006339	
AGAP006340	
AGAP007033	APL1C
AGAP007036	APL1A
AGAP006343	PGRPS2
AGAP006344	
AGAP006345	
AGAP006346	
AGAP006347	
AGAP006348	LRIM1
AGAP006349	
AGAP006350	
AGAP006353	
AGAP006354	
AGAP006355	
AGAP006356	
AGAP006357	
AGAP006358	
AGAP006359	
AGAP006360	
AGAP006361	
AGAP006362	
AGAP006363	
AGAP006364	ABCB4
AGAP006365	
AGAP006366	
AGAP006367	
AGAP006368	Q7Q5L4
AGAP006369	CPR144
AGAP006370	
AGAP006371	
AGAP006372	
AGAP006373	
AGAP006374	
AGAP006375	
AGAP006376	PDP1
AGAP006377	
AGAP006378	
AGAP006379	ABCA1
AGAP006380	ABCA2
AGAP006381	
AGAP006382	
AGAP006383	
AGAP006384	
AGAP006385	
AGAP006386	
AGAP006387	
AGAP006388	
AGAP006389	
AGAP006390	
